,Locality,Type of property,Subtype of property,Price,Number of bedrooms,Livable surface,Kitchen equipment,Number of bathrooms,Number of toilets,Floor of appartment,Number of floors,Balcony,State of the property,Build Year,Surface bedroom 1,Furnished,Surface of living-room,Cellar,Surface kitchen,Entry phone,Elevator,Number of showers,Orientation of the front facade,Number of facades,Terrace,Surface terrace,Surface bedroom 2,Security door,Access for disabled,Sewer Connection,Garden,Surface garden,Surface bedroom 3,Garage
10867,6010 Couillet,house,residence,69000,2,100.0,Fully equipped,1,1,,1,0,To be renovated,,15.0,0,20.0,1,10.0,0,0,1,,2,0,0,15.0,0,0,1,1,200.0,8.916937566342531,0
10868,6010 Couillet,house,residence,159900,4,150.0,Fully equipped,1,1,,3,0,Normal,,10.0,0,20.0,1,5.0,0,0,1,,2,1,5.0,10.0,0,0,1,1,100.0,15.0,1
10869,6010 Couillet,house,residence,30000,3,130.0,Fully equipped,1,1,,,0,New,1952,17.63814161183899,1,30.0,1,14.161833457433845,0,0,1,,2,0,0,14.27787958028671,0,0,1,0,,11.592018836245291,1
10870,6010 Couillet,flat,apartment,149000,2,117.0,Partially equipped,1,1,1,10,0,Excellent,1957,15.0,0,44.0,0,10.0,1,1,1,,3,0,0,1282.0,1,1,1,0,,10.432816952620762,0
10871,6010 Couillet,flat,apartment,159000,2,100.0,Partially equipped,1,1,1,,0,Normal,,13.567801239876145,0,30.0,0,10.89371804417988,1,0,1,,4,0,0,10.982984292528238,0,0,1,1,120.0,8.916937566342531,1
10872,6010 Couillet,flat,apartment,180000,2,100.0,Super equipped,1,1,,,0,New,,17.0,0,45.0,0,14.0,1,1,1,,4,1,5.0,15.0,0,1,1,1,2500.0,8.916937566342531,0
10873,6010 Couillet,flat,apartment,155000,2,84.0,Super equipped,1,1,,,0,New,,10.0,0,35.0,0,12.0,1,1,1,,4,1,5.0,11.0,0,1,1,1,2500.0,7.490227555727726,0
10874,6010 Couillet,flat,apartment,175000,2,95.0,Super equipped,1,1,,,0,New,,14.0,0,42.0,0,12.0,1,1,1,,4,1,5.0,13.0,0,1,1,1,2500.0,8.471090688025404,0
10875,6010 Couillet,flat,apartment,89000,2,75.0,Partially equipped,1,1,8,,0,Normal,,10.175850929907108,0,35.0,0,8.170288533134912,1,0,1,,3,0,0,8.237238219396179,0,0,1,0,,6.687703174756898,0
10876,6010 Couillet,flat,apartment,100000,2,76.0,Partially equipped,1,1,7,,0,Excellent,,10.31152894230587,0,22.26085164863228,1,8.279225713576709,1,1,1,,2,0,0,8.347068062321462,0,0,1,0,,6.7768725504203235,0
10877,6010 Couillet,flat,apartment,100000,2,76.0,Partially equipped,1,1,5,,0,Excellent,,10.31152894230587,0,22.26085164863228,0,8.279225713576709,1,1,1,,3,0,0,8.347068062321462,0,0,1,0,,6.7768725504203235,0
10878,6010 Couillet,house,residence,380000,8,315.0,Partially equipped,2,2,,,0,Excellent,,42.73857390560986,0,50.0,1,34.31521183916663,1,0,2,,3,0,0,34.596400521463956,0,0,1,0,,28.088353333978972,0
10879,6010 Couillet,house,residence,79000,1,,Fully equipped,1,1,,,0,To be renovated,,,0,,0,,0,0,1,,3,0,0,,0,0,1,0,,,1
10880,6020 Dampremy,house,residence,189900,4,140.0,Partially equipped,2,1,,,0,Fully renovated,,18.994921735826605,0,41.00683198432262,1,15.251205261851833,0,0,1,,3,0,0,15.376178009539535,0,0,1,1,800.0,12.483712592879543,0
